date,open,high,low,close,volume
2024-05-24,149.53,149.814,146.76,146.97,9520576
2024-05-28,146.79,146.79,144.15,144.38,10499830
2024-05-29,143.82,145.415,143.71,144.44,8263810
2024-05-30,144.62,145.61,144.02,145.28,8491111
2024-05-31,145.57,147.48,145.19,146.67,14621200
2024-06-03,147.25,148.9,146.77,147.74,7329241
2024-06-04,147.48,148.31,146.19,147.8,8876441
2024-06-05,147.97,147.99,145.855,145.97,5891299
2024-06-06,145.5,147,144.66,146.42,5016301
2024-06-07,146.68,148.3,146.34,147.08,5111626
2024-06-10,146.53,147.56,145.6,147.13,5751309
2024-06-11,146.81,147.16,145.44,146.76,5661236
2024-06-12,147.06,147.21,144.78,145.41,6180493
2024-06-13,145.07,146,143.88,145.45,6840374
2024-06-14,145.14,145.97,144.48,145.54,4075342
2024-06-17,145.02,146.43,144.74,145.95,6666583
2024-06-18,145.96,146.39,145.265,145.65,6156572
2024-06-20,145.27,148.08,145.01,147.78,8749717
2024-06-21,147.89,149.08,147.37,148.75,15176870
2024-06-24,149,149.72,148.17,149.12,6914671
2024-06-25,149.18,149.2,146.94,147.19,6620303
2024-06-26,146.2,147.19,145.78,146.82,5267809
2024-06-27,146.8,147.36,144.84,145.8,5739246
2024-06-28,146.04,147.07,145.65,146.16,10495740
2024-07-01,146.07,148.7,145.62,146.44,5144443
2024-07-02,146.43,147.15,145.74,146.03,5491962
2024-07-03,146.2,146.65,144.74,145.69,3246157
2024-07-05,145.77,146.55,144.5,146.48,4888535
2024-07-08,146.4,147.22,145.25,145.48,5260229
2024-07-09,145.67,147.13,145.18,147.05,5892187
2024-07-10,147.26,149.47,146.68,149.43,6093187
2024-07-11,149.58,150.58,148.64,149.7,6352109
2024-07-12,150,150.88,149.24,149.88,5336394
2024-07-15,150.08,150.25,148.87,149.24,6711354
2024-07-16,149.69,151.08,149.16,151.01,6469582
2024-07-17,151.55,157.49,151.415,156.58,13801430
2024-07-18,155.6,157.07,154.62,155.42,10166250
2024-07-19,156.51,156.51,154.12,154.69,7398036
2024-07-22,154.77,155.11,153.59,154.24,6840609
2024-07-23,153.31,153.5,151.57,152.35,6261870
2024-07-24,152.76,156.41,152.33,156.28,7168217
2024-07-25,156.48,160.58,156,159.64,10019580
2024-07-26,159.75,161.58,159.472,160.64,8356878
2024-07-29,159.97,160,158.05,158.56,5625204
2024-07-30,158.54,161.55,158.36,161.33,6545677
2024-07-31,159.85,160.35,157.74,157.85,8293239
2024-08-01,158.48,160.81,157.71,160.76,7213419
2024-08-02,161.9,164.85,161,164.14,11280360
2024-08-05,163.795,165.78,160.58,161.25,12032210
2024-08-06,161.05,161.48,158.94,158.97,7607144
2024-08-07,158.87,160.615,158.19,158.9,5993028
2024-08-08,158.57,160.7,158.03,160.22,5094830
2024-08-09,160.12,160.93,159.34,160.62,4579186
2024-08-12,160.97,161.7,158.71,159.88,7605419
2024-08-13,160.27,160.37,156.44,158.39,9711395
2024-08-14,157.83,159.55,157.4,158.48,5141249
2024-08-15,158.37,159.495,157.84,159.09,7237785
2024-08-16,159.14,159.94,158.18,159.39,5012774
2024-08-19,159.46,160.295,159.13,159.63,4408517
2024-08-20,160,160.93,159.67,160.16,7275133
2024-08-21,160.4,161.48,160.31,161.43,5019375
2024-08-22,162,162.49,160.79,162.35,6552142
2024-08-23,162.5,164.22,161.695,164.13,7093429
2024-08-26,164.17,165.71,163.54,164.61,6870622
2024-08-27,163.5,164.035,162.16,162.95,4388728
2024-08-28,163,165,162.71,163.92,5187198
2024-08-29,164.63,164.72,163.36,164.23,7390125
2024-08-30,164.12,165.98,163.81,165.86,7971017
2024-09-03,165.24,167.81,164.77,167.16,6956452
2024-09-04,167.81,168.85,166.04,167.36,6939132
2024-09-05,167.2,167.37,164.83,164.99,4600392
2024-09-06,165.18,165.94,164.12,164.38,6016884
2024-09-09,164.84,167.405,164.47,166.61,7538233
2024-09-10,167.5,168.46,166.745,167.38,6559734
2024-09-11,166.79,166.79,164.09,164.82,5920165
2024-09-12,164.2,165.1,162.71,164.64,4541046
2024-09-13,164.74,165.75,163.82,165.52,3693548
2024-09-16,166.36,167.25,165.78,166.99,5187887
2024-09-17,166.24,167.72,165.93,167.07,5066586
2024-09-18,166.63,168.35,165.74,166.15,4722765
2024-09-19,166.23,166.37,164.42,164.82,4956119
2024-09-20,164.3,164.87,163.55,164.16,11838970
2024-09-23,164.4,164.5,162.72,163.22,4671645
2024-09-24,162.79,163.49,161.55,162.78,6041561
2024-09-25,163,163.315,160.36,160.6,5420011
2024-09-26,160.24,161.54,160.02,161.39,6122231
2024-09-27,162,163.43,161.34,161.4,7553905
2024-09-30,161.57,162.18,160.68,162.06,6010407
2024-10-01,162.43,162.75,161.18,161.99,4408019
2024-10-02,161.51,162.12,160.65,161.17,4684472
2024-10-03,160.78,161.44,160.22,160.5,4791223
2024-10-04,159.63,160.5,158.775,160.29,5331694
2024-10-07,160.25,160.86,159.22,159.53,4265971
2024-10-08,159.49,160.245,158.95,159.69,4766250
2024-10-09,159.92,161.215,159.51,160.65,6047269
2024-10-10,161.36,161.39,159.995,160.51,4793889
2024-10-11,162.18,162.66,161.2,161.46,5253459
2024-10-14,161.4,162.14,160.9,161.6,5963961
2024-10-15,160,166.75,159,164.1,10547970
2024-10-16,164,164.99,162.64,164.28,5982291
2024-10-17,164.26,165,163.63,164.47,4798238
2024-10-18,164.89,165.29,163.93,165.12,5908012
2024-10-21,165.1,165.25,162.31,162.83,6082736
2024-10-22,162.32,163.73,161.9,163.45,5680612
2024-10-23,162.82,166,162.42,165.86,7442026
2024-10-24,165,165.51,163.34,163.67,5386525
2024-10-25,163.68,163.92,160.61,160.88,6400449
2024-10-28,161.13,161.97,161,161.6,4842653
2024-10-29,161.46,162.17,160.06,160.09,5216879
2024-10-30,159.45,161.28,159.03,160.61,5820530
2024-10-31,159.99,160.87,159.46,159.86,8613860
2024-11-01,160.58,161.06,159.88,160.13,5256652
2024-11-04,159.7,160.28,158.07,158.24,4644011
2024-11-05,157.67,158.59,156.35,158.35,6547074
2024-11-06,159.9,160.85,157.355,157.88,8926601
2024-11-07,158.47,158.75,156.51,156.73,7522812
2024-11-08,157,157.08,155.41,155.47,8926134
2024-11-11,155.62,157.58,154.91,155.04,7146759
2024-11-12,154.53,155.04,152.37,152.64,7181408
2024-11-13,152.5,153.51,151.424,153.24,7162233
2024-11-14,153.18,153.592,150.76,151.87,7716385
2024-11-15,150.9,154.43,150.9,154,11328520
2024-11-18,152.59,155.33,152.33,154.77,7514177
2024-11-19,153.945,153.99,152.05,153,8233678
2024-11-20,153.03,153.25,151.81,153.11,9061274
2024-11-21,153.62,156.06,152.81,155.5,10141060
2024-11-22,155.9,157.115,154.11,155.17,8265961
2024-11-25,155.17,157.035,155.14,155.78,12256240
2024-11-26,155.16,155.25,153.16,154.52,5683499
2024-11-27,154.63,156.63,154.6,155.4,4140444
2024-11-29,154.89,155.67,154.169,155.01,5687821
