date,open,high,low,close,volume
2024-05-24,197.75,200.76,197.56,200.71,7356233
2024-05-28,199.86,200.41,198.66,199.5,6910206
2024-05-29,198,198.99,196.89,198.11,6120045
2024-05-30,198.56,199.85,198.4,199.33,6829719
2024-05-31,199.3,203.3,198.35,202.63,14417890
2024-06-03,202.31,202.42,199.19,201.82,6444309
2024-06-04,200.16,201.98,198.28,199.16,6848338
2024-06-05,199.76,199.82,196.92,197.26,8351597
2024-06-06,197.26,198.02,195.33,196.91,7640289
2024-06-07,197.43,200.92,197.01,199.95,6964498
2024-06-10,199.24,200.84,198.44,199.61,6071201
2024-06-11,197.91,197.94,193.6,194.36,9235302
2024-06-12,196,196.72,191.31,191.53,12751330
2024-06-13,192.32,194.58,190.88,193.66,8587786
2024-06-14,191.45,194.86,191.42,193.78,6874029
2024-06-17,193.48,195.58,192.64,194.98,8725445
2024-06-18,194.6,197.96,194.13,197,9022971
2024-06-20,196.39,199.45,196.11,198.67,8731062
2024-06-21,196.71,197.17,194.22,196.3,20972500
2024-06-24,197.81,199.23,197.1,198.88,9785929
2024-06-25,198.09,200.07,197.74,198.07,6915909
2024-06-26,197.45,197.94,196.275,197.43,7758582
2024-06-27,197.44,199.86,196.9,199.17,7913453
2024-06-28,200.01,202.6,199.302,202.26,15307620
2024-07-01,202.84,207.09,202.66,205.45,10205840
2024-07-02,205.29,208.86,204.77,208.83,7802936
2024-07-03,209.55,210.38,207.65,208.69,5560925
2024-07-05,206.99,207.37,204.52,204.79,8093096
2024-07-08,205.04,206.9,203.97,205.17,8706967
2024-07-09,205.63,209.76,205.45,207.63,9060258
2024-07-10,206.14,207.97,205.58,207.8,8328493
2024-07-11,206.21,208.1,205.38,207.45,10666940
2024-07-12,204,207.45,202.1,204.94,15443440
2024-07-15,207.19,211.61,206.72,210.05,10719670
2024-07-16,210,213.74,208.08,213.62,11557020
2024-07-17,213.8,217.56,213.27,216.87,11572470
2024-07-18,215.63,216.635,209.235,209.98,12415130
2024-07-19,211.2,212.35,208.92,209.78,8095898
2024-07-22,210.46,212.17,209.71,210.28,7663223
2024-07-23,211.02,211.475,209.353,210.33,5557262
2024-07-24,209.55,212.03,208.07,208.59,7118957
2024-07-25,208.65,210.19,208.05,208.67,6403774
2024-07-26,209.24,213.16,208.62,212.24,8027787
2024-07-29,212.65,213.61,210.545,210.85,6533636
2024-07-30,213.23,215.79,212.96,215.19,8850705
2024-07-31,214.78,216.39,212.67,212.8,9071637
2024-08-01,213.2,213.83,206.38,207.96,10918640
2024-08-02,203.88,204.67,196.89,199.14,18041680
2024-08-05,194.05,196.17,190.9,194.9,13927000
2024-08-06,195.4,202.6,194,200.34,10605780
2024-08-07,203.51,205.75,200.2,200.4,9204434
2024-08-08,202.47,204.91,201.79,204.06,7761199
2024-08-09,203.47,206.47,202.9,205.8,5540240
