date,open,high,low,close,volume
2024-05-24,62.22,62.42,61.97,62,8203136
2024-05-28,61.79,62.13,61.4,61.82,12347000
2024-05-29,61.47,61.88,61.07,61.7,11861820
2024-05-30,61.85,62.08,61.6,61.97,9436821
2024-05-31,61.99,63.025,61.69,62.93,19816630
2024-06-03,62.71,63.09,62.445,62.93,9369046
2024-06-04,63.2,63.97,62.94,63.94,11895620
2024-06-05,63.99,64.07,63.35,63.92,9632525
2024-06-06,63.92,64.36,63.84,64.15,8658456
2024-06-07,64.09,64.225,63.81,63.91,9523089
2024-06-10,63.94,63.99,63.365,63.59,15687130
2024-06-11,63.59,63.645,63.07,63.55,8395960
2024-06-12,63.69,63.69,62.685,62.88,9569550
2024-06-13,62.86,63.035,62.45,62.99,9668888
2024-06-14,62.38,62.69,62.09,62.55,8179239
2024-06-17,62.37,62.895,62.18,62.62,10532720
2024-06-18,62.53,62.82,62.44,62.63,10651660
2024-06-20,62.4,62.74,61.945,62.18,13306270
2024-06-21,62.18,63.1,62.18,62.77,28282190
2024-06-24,62.99,64.055,62.91,63.97,13212450
2024-06-25,63.935,64.07,63.51,63.84,10546790
2024-06-26,63.4,64.11,63.23,64.05,9402502
2024-06-27,64.05,64.27,63.62,63.91,8494123
2024-06-28,63.9,64.06,63.52,63.65,17358830
2024-07-01,64.03,64.3,63.12,63.28,10033360
2024-07-02,63.26,63.38,62.855,63.15,8878156
2024-07-03,63.19,63.665,62.93,63.33,9154198
2024-07-05,63.33,63.79,62.995,63.76,11735460
2024-07-08,63.59,63.59,62.84,62.96,11235140
2024-07-09,63.06,63.23,62.59,62.69,11660200
2024-07-10,62.72,62.86,62.285,62.83,11930410
2024-07-11,62.64,63.46,62.395,63.1,11434420
2024-07-12,63.46,64.115,63.385,63.7,9201516
2024-07-15,63.79,63.94,63.35,63.41,8207521
2024-07-16,63.43,64.31,63.39,64.27,9025066
2024-07-17,64.47,65.39,64.405,65.21,12508220
2024-07-18,64.8,65.805,64.72,65.19,11128200
2024-07-19,65.64,65.64,64.82,65.29,13775670
2024-07-22,65.25,65.29,64.315,64.77,11794210
2024-07-23,65.43,66.04,64.845,64.96,11810260
2024-07-24,65.09,65.965,64.835,65.81,13244570
2024-07-25,66.04,66.89,65.86,66.07,16328580
2024-07-26,66.07,67.11,66.01,67.05,13530070
2024-07-29,66.88,67.025,66.39,66.83,12140150
2024-07-30,66.48,67.83,66.36,67.68,13257960
2024-07-31,67.5,67.61,66.61,66.74,15576850
2024-08-01,67,68.105,66.7,67.96,16495910
2024-08-02,68.53,69.67,67.69,69.33,22514780
2024-08-05,68.99,69.55,67.73,68.1,25484270
2024-08-06,68.15,68.84,67.77,68.05,12969100
2024-08-07,68.05,69.18,67.83,68.46,13365270
2024-08-08,68,68.865,67.85,68.73,15240910
2024-08-09,68.7,68.785,68.245,68.68,12080420
2024-08-12,68.45,68.54,67.83,68.17,11012320
2024-08-13,68.08,68.61,68.01,68.46,9877569
2024-08-14,68.23,68.89,68.13,68.58,14328030
2024-08-15,68.62,68.92,68.5,68.65,11285120
2024-08-16,68.84,69.3,68.64,69.18,12651230
2024-08-19,69.35,69.42,68.845,68.98,9843861
2024-08-20,68.99,69.39,68.765,69.38,11957370
2024-08-21,69.48,70.13,69.335,69.57,8792397
2024-08-22,69.92,69.92,68.79,69.33,12509200
2024-08-23,69.4,69.85,68.935,69.79,11834750
2024-08-26,69.83,70.92,69.73,70.84,12912250
2024-08-27,71.32,71.53,71.05,71.5,16988410
2024-08-28,71.61,71.81,71.295,71.75,13272580
2024-08-29,71.9,72.22,71.23,72.05,17201680
2024-08-30,72.2,72.57,71.78,72.47,18624230
2024-09-03,72.44,73.285,72.245,73.01,14755750
2024-09-04,73.3,73.53,71.91,72.56,18140830
2024-09-05,72.62,72.68,70.98,71.17,23866130
2024-09-06,70.99,71.67,70.89,71.14,17485710
2024-09-09,71.23,72.305,70.98,71.85,12939260
2024-09-10,71.97,72.42,71.52,71.55,10277590
2024-09-11,71.36,71.37,70.5701,71.08,11418230
2024-09-12,71,71.38,70.655,71.23,12340780
2024-09-13,70.84,71.465,70.48,71.41,11073850
2024-09-16,71.77,72.24,71.62,72.1,10786530
2024-09-17,71.9,72.35,71.725,71.8,12974380
2024-09-18,71.89,72.38,71.27,71.75,10719710
2024-09-19,71.56,71.94,70.6,70.62,13635650
2024-09-20,70.41,71.8,70.38,71.64,48578480
2024-09-23,71.55,72.2,71.18,71.73,11613020
2024-09-24,71.22,71.815,70.6,71.33,13330640
2024-09-25,71.71,71.92,71.305,71.45,12329130
2024-09-26,70.86,71.61,70.84,71.4,10815220
2024-09-27,71.54,72.2,71.46,71.79,11175710
2024-09-30,72,72.2,71.69,71.86,18016010
2024-10-01,72.1,72.745,71.63,71.71,13294500
2024-10-02,71.39,71.43,70.41,71.01,11155480
2024-10-03,70.86,70.99,70.2,70.52,9374794
2024-10-04,69.96,70.28,69.72,70.17,12687290
2024-10-07,70.05,70.1,68.87,69.01,14511960
2024-10-08,69.04,69.44,68.86,69.18,13549700
2024-10-09,69.19,69.74,69.07,69.57,9037735
2024-10-10,69.83,69.91,68.985,69.25,8635150
2024-10-11,69.46,69.59,68.995,69.57,8786318
2024-10-14,69.57,70.47,69.47,70.34,7659318
2024-10-15,70.46,71.21,70.16,70.34,10358730
2024-10-16,70.09,70.7,69.97,70.57,7937347
2024-10-17,70.63,70.69,69.58,69.9,14674630
2024-10-18,69.87,70.55,69.605,70.44,15087520
2024-10-21,70,70.325,69.305,69.45,11981160
2024-10-22,69,69.745,68.68,69.45,18603250
2024-10-23,66.99,68.7,66.58,68.01,24655200
2024-10-24,67.65,68.04,66.952,67.3,17568830
2024-10-25,67.07,67.7,66.79,66.92,11138130
2024-10-28,66.96,67.395,66.6,66.67,10761420
2024-10-29,66.29,66.34,65.52,65.56,16525920
2024-10-30,65.51,66.535,65.32,65.92,14177770
2024-10-31,65.81,65.99,65.255,65.31,13383720
2024-11-01,65.47,65.66,64.89,65.01,12163090
2024-11-04,65.08,65.42,64.6507,65.11,10984500
2024-11-05,64.64,65.4698,64.64,65.37,8780220
2024-11-06,64.42,64.86,63.18,63.7,22899260
2024-11-07,64.29,64.39,63.6,63.66,14856050
2024-11-08,63.91,64.24,63.74,63.92,14719310
2024-11-11,63.99,64.12,63.2509,63.36,13980870
2024-11-12,63.68,63.75,63.12,63.2,15020980
2024-11-13,63.05,63.26,62.49,63,13177640
2024-11-14,63.11,63.11,62.43,62.55,15910820
2024-11-15,62.49,62.63,61.39,61.74,26284330
2024-11-18,61.85,62.14,61.56,61.86,16079360
2024-11-19,61.9,62.62,61.63,62.59,16254830
2024-11-20,62.7,63.01,62.02,62.99,18904910
2024-11-21,63.15,63.81,62.95,63.76,17292300
2024-11-22,64.24,64.48,63.65,63.92,19562230
2024-11-25,64.32,64.71,63.84,64.38,36805250
2024-11-26,64.31,64.64,64.06,64.55,14473270
2024-11-27,64.96,65.1,64.25,64.43,13263400
2024-11-29,64.02,64.25,63.77,64.08,10648350
2024-12-02,64.05,64.19,63.345,63.65,16500100
2024-12-03,63.72,64.08,63.025,63.52,24874490
2024-12-04,63.275,63.35,61.9,62.21,28137660
2024-12-05,62.47,63.12,62.1,62.92,21040360
2024-12-06,62.83,63.36,62.51,62.53,15581150
2024-12-09,62.69,62.929,61.9,62.6,22348330
2024-12-10,62.7,63.04,61.79,62.91,14949420
2024-12-11,63,63.63,62.4,62.64,32819010
2024-12-12,63.55,63.92,63.22,63.84,17542090
2024-12-13,63.57,63.835,63.11,63.12,13429030
2024-12-16,63.23,63.86,62.35,62.55,24559740
2024-12-17,62.45,63.55,62.32,63.4,21902380
2024-12-18,62.81,63.64,62.79,62.85,20946090
2024-12-19,62.7,63.17,62.4,62.45,21300650
2024-12-20,62.47,63.06,62.28,62.55,42458100
2024-12-23,62.5,62.76,61.5318,62.38,13010760
2024-12-24,62.2,62.84,62.01,62.84,5019131
2024-12-26,62.62,62.74,62.4,62.57,7945641
2024-12-27,62.45,62.95,62.209,62.45,8542773
2024-12-30,62.34,62.34,61.68,62.03,8972212
2024-12-31,62.02,62.43,61.8,62.26,9256664
2025-01-02,62.35,62.75,61.62,61.84,12990980
2025-01-03,61.9,62.075,61.62,61.75,10403200
2025-01-06,61.5,61.565,60.66,60.81,17924240
2025-01-07,61.11,61.7175,60.615,60.84,17799630
2025-01-08,60.99,61.77,60.93,61.71,14412400
2025-01-10,61.58,61.65,60.73,61.07,22424950
2025-01-13,61.13,61.845,60.71,61.65,18016170
2025-01-14,61.655,62.065,61.3,62.04,16658290
2025-01-15,62.33,62.62,61.68,61.77,16187200
2025-01-16,61.42,62.3,61.32,62.25,12585530
2025-01-17,62.31,62.765,62.17,62.71,17948870
2025-01-21,62.9,63.23,62.3,62.42,19817070
2025-01-22,62.12,62.285,61.66,61.78,18191890
2025-01-23,61.8,61.98,61.37,61.53,16528420
2025-01-24,61.72,62.01,61.435,61.92,19244600
2025-01-27,62.87,64.18,62.473,63.87,20742920
2025-01-28,63.51,64.04,62.28,62.36,14956030
2025-01-29,62.56,63.36,62.55,62.83,11325640
2025-01-30,63.85,64.285,63.23,64.05,13200980
2025-01-31,63.7,63.93,63.39,63.48,12102060
2025-02-03,63.18,63.6299,62.43,63.35,12067880
2025-02-04,63.61,63.63,62.35,62.67,15678000
2025-02-05,62.72,63.29,62.585,63.12,10686750
2025-02-06,63.62,63.74,62.91,63.36,13423410
2025-02-07,63.43,63.92,63.27,63.84,13184670
2025-02-10,64.1,64.65,63.66,64.55,16154300
2025-02-11,67.5,67.67,66.41,67.6,30589150
2025-02-12,66.87,68.82,66.87,68.71,26033760
2025-02-13,69,69.61,68.762,69.5,24393150
2025-02-14,69.365,70.03,68.76,68.87,20779090
2025-02-18,68.55,69.37,68.42,69.05,15569120
2025-02-19,69.21,70.13,69.17,70.07,16032270
2025-02-20,69.71,70.07,69.42,70.04,13398010
2025-02-21,70.32,71.6,70.13,71.35,21662250
2025-02-24,70.84,71.73,70.33,70.59,21418440
2025-02-25,70.86,71.7699,70.73,71.49,21555590
2025-02-26,71.27,71.275,70.525,70.8,14531180
2025-02-27,70.72,71.535,70.42,70.87,16789480
2025-02-28,71.45,71.57,70.56,71.21,22167380
2025-03-03,70.24,72.36,69.73,72.32,21717600
2025-03-04,72.07,72.65,69.88,70.19,25411860
2025-03-05,69.9,70.74,69.84,70.08,23933630
2025-03-06,70.41,70.529,69.45,70.46,21694030
2025-03-07,69.65,71.82,69.65,71.43,28393260
2025-03-10,71.96,73.22,71.315,71.45,25251190
2025-03-11,71.875,72.04,70.61,71.04,28076440
2025-03-12,70.37,70.73,69.74,69.94,18923300
2025-03-13,70.25,70.25,69.281,69.62,15746570
2025-03-14,68.51,69.26,68.3803,69.16,14205090
2025-03-17,69.24,70.17,69.08,70.12,15634810
2025-03-18,70.11,70.19,69.3,69.38,12657620
2025-03-19,68.55,69.38,68.54,69.28,14780010
2025-03-20,69.305,69.81,69.09,69.71,16295260
2025-03-21,69.71,69.97,68.18,68.67,47479470
2025-03-24,68.8,69.08,68.33,68.95,12575410
2025-03-25,68.95,69.08,68.6,68.81,12513900
2025-03-26,68.92,70.35,68.9,70.02,14482760
2025-03-27,70.18,70.985,70.07,70.74,11663370
2025-03-28,70.81,71.315,69.53,70.37,17412920
2025-03-31,70.73,71.9375,70.49,71.62,24016870
2025-04-01,71.68,71.91,71.185,71.87,15309150
2025-04-02,71.96,72.36,71.05,71.33,14606520
2025-04-03,72.48,73.95,72.32,73.18,24959590
2025-04-04,72.42,73.01,69.79,69.93,26517290
2025-04-07,66.23,69.38,66.05,68.37,34258360
2025-04-08,68.96,69.9815,67.76,68.42,22774430
2025-04-09,67.92,70.47,67.28,69.95,27918680
2025-04-10,70.19,71.205,68.98,70.76,22450160
2025-04-11,70.905,71.85,70.54,71.43,19988200
2025-04-14,71.3,72.66,70.93,72.45,13930210
2025-04-15,72.62,72.63,71.725,71.86,14965490
2025-04-16,72.36,72.665,71.385,71.68,15276220
2025-04-17,71.9,73.425,71.72,73,20754500
2025-04-21,73.38,73.4723,71.82,72.77,16037190
2025-04-22,73,74.38,72.92,73.9,15613520
2025-04-23,73.29,73.95,72.38,73.3,16353930
2025-04-24,73.02,73.425,72.3,72.52,16893860
2025-04-25,72.65,72.92,71.125,71.91,16315980
2025-04-28,72.075,72.26,71.31,71.79,15997500
2025-04-29,71.19,72.71,70.28,72.35,16244060
2025-04-30,73.35,73.48,71.685,72.55,21074650
2025-05-01,72,72.04,71.23,71.29,18034160
2025-05-02,71.5,71.815,71.095,71.65,12629590
2025-05-05,71.67,71.8,71.01,71.7,11932690
2025-05-06,71.675,71.9,71.16,71.72,12705480
2025-05-07,71.72,72.685,71.67,72.4,15025790
2025-05-08,72.2,72.47,71.13,71.17,14371060
2025-05-09,70.99,71.15,70.46,70.52,11228950
2025-05-12,70.145,70.33,68.7,69.53,21539010
2025-05-13,69.59,69.69,68.87,68.96,14389050
2025-05-14,68.88,69.34,68.58,69.16,16286800
2025-05-15,69.7,71.73,69.6,71.61,19817100
2025-05-16,71.86,72.26,71.43,72,18441200
2025-05-19,72.03,72.17,71.64,71.93,13282780
