date,open,high,low,close,volume
2024-05-24,174.835,180.08,173.73,179.24,65584480
2024-05-28,176.4,178.25,173.16,176.75,59736620
2024-05-29,174.19,178.15,173.93,176.19,54782650
2024-05-30,178.575,182.67,175.38,178.79,77784760
2024-05-31,178.5,180.32,173.82,178.08,67314600
2024-06-03,178.13,182.639,174.49,176.29,68568920
2024-06-04,174.775,177.755,174,174.77,60056340
2024-06-05,175.35,176.15,172.13,175,57953760
2024-06-06,174.6,179.73,172.73,177.94,69887020
2024-06-07,176.13,179.35,175.58,177.48,56244930
2024-06-10,176.06,178.57,173.17,173.79,50869680
2024-06-11,173.92,174.75,167.41,170.66,64761930
2024-06-12,171.12,180.55,169.8,177.29,90389450
2024-06-13,188.39,191.08,181.23,182.47,118984100
2024-06-14,185.8,186,176.92,178.01,82038190
2024-06-17,177.92,188.81,177,187.44,109786100
2024-06-18,186.56,187.2,182.37,184.86,68982270
2024-06-20,184.68,185.21,179.66,181.57,55893140
2024-06-21,182.3,183.95,180.69,183.01,63029480
2024-06-24,184.97,188.8,182.55,182.58,61992070
2024-06-25,184.4,187.97,182.01,187.35,63678270
2024-06-26,186.54,197.755,186.36,196.37,95737070
2024-06-27,195.17,198.72,194.05,197.42,72746520
2024-06-28,199.55,203.2,195.26,197.88,95438070
2024-07-01,201.02,213.23,200.85,209.86,135691400
2024-07-02,218.89,231.3,218.06,231.26,205047900
2024-07-03,234.56,248.35,234.25,246.39,166561500
2024-07-05,249.81,252.37,242.46,251.52,154501200
2024-07-08,247.71,259.439,244.57,252.94,157219600
2024-07-09,251,265.61,250.3,262.33,160742500
2024-07-10,262.8,267.59,257.86,263.26,128519400
2024-07-11,263.3,271,239.65,241.03,221707300
2024-07-12,235.8,251.84,233.091,248.23,155955800
2024-07-15,255.97,265.6,251.73,252.64,146912900
2024-07-16,255.31,258.62,245.8,256.56,126332500
2024-07-17,252.73,258.47,246.182,248.5,115584800
2024-07-18,251.09,257.14,247.2,249.23,110869000
2024-07-19,247.79,249.44,236.83,239.2,87403900
2024-07-22,244.21,253.21,243.75,251.51,101225400
2024-07-23,253.6,255.759,245.63,246.38,111928200
2024-07-24,225.42,225.99,214.71,215.99,167942900
2024-07-25,216.8,226,216.231,220.25,100636500
2024-07-26,221.19,222.28,215.33,219.8,94604150
2024-07-29,224.9,234.27,224.7,232.1,129201800
2024-07-30,232.25,232.41,220,222.62,100560300
2024-07-31,227.9,234.68,226.787,232.07,67497010
2024-08-01,227.69,231.867,214.333,216.86,83861900
2024-08-02,214.88,216.13,205.78,207.67,82880120
2024-08-05,185.22,203.88,182,198.88,100308800
2024-08-06,200.75,202.9,192.67,200.64,73783940
2024-08-07,200.77,203.49,191.48,191.76,71159780
2024-08-08,195.7,200.7,192.04,198.84,65033870
2024-08-09,197.05,200.88,195.11,200,58648270
2024-08-12,199.02,199.26,194.67,197.49,64044900
2024-08-13,198.47,208.49,197.06,207.83,76247390
2024-08-14,207.39,208.44,198.75,201.38,70250010
2024-08-15,205.02,215.88,204.82,214.14,89848530
2024-08-16,211.15,219.8,210.8,216.12,88765120
