date,open,high,low,close,volume
2024-05-24,65.13,65.69,65.01,65.38,11795020
2024-05-28,65.22,65.47,64.74,65.04,13349620
2024-05-29,64.75,65.21,64.65,64.92,11538550
2024-05-30,64.93,65.1711,64.77,64.89,13053480
2024-05-31,64.67,65.9,64.16,65.76,27632220
2024-06-03,65.51,65.84,65.1603,65.82,11578710
2024-06-04,65.99,66.635,65.835,66.6,14780760
2024-06-05,66.57,67.15,66.28,67.09,14982670
2024-06-06,67.06,67.44,66.77,67.15,13256010
2024-06-07,67.4,67.565,65.635,65.88,20213210
2024-06-10,67.19,67.33,66.27,66.96,21667420
2024-06-11,66.95,66.96,66.35,66.73,13367510
2024-06-12,66.85,66.94,65.898,66.31,11704700
2024-06-13,66.3,66.76,65.9491,66.7,11196600
2024-06-14,66.54,67.11,66.3,67.02,12590150
2024-06-17,66.92,67.44,66.4125,67.42,12103040
2024-06-18,67.63,67.87,67.295,67.6,12093550
2024-06-20,67.35,68.13,67.3,68.01,13860760
2024-06-21,68.26,68.55,67.83,67.91,25891530
2024-06-24,68.05,69.04,67.9,68.9,12470450
2024-06-25,67.17,67.59,66.55,67.42,20904040
2024-06-26,67.4,68.5999,67.21,68.29,14177520
2024-06-27,68.29,68.58,67.665,67.88,12899190
2024-06-28,67.87,68.0981,67.32,67.71,18816720
2024-07-01,67.89,68.24,67.25,67.48,8666021
2024-07-02,67.44,68.085,67.26,68.07,9436487
2024-07-03,67.81,68.25,67.62,68.24,6287545
2024-07-05,68.16,70.15,68.1,70.04,21586100
2024-07-08,69.9,70.14,69.35,69.68,12077680
2024-07-09,69.9,70.25,69.67,69.9,9781831
2024-07-10,70.1,70.44,69.72,70.41,10803410
2024-07-11,70.18,70.45,69.26,69.8,15624800
2024-07-12,69.9,70.0299,69.17,69.24,12145320
2024-07-15,69.3,69.975,69.3,69.61,10171140
2024-07-16,69.82,70.24,69.58,69.99,9836824
2024-07-17,70.18,71.1,69.95,71.03,13533790
2024-07-18,70.68,71.19,70.43,70.82,10682740
2024-07-19,71.2,71.33,70.65,70.75,11665530
2024-07-22,70.86,71.26,70.2301,70.38,12666130
2024-07-23,70.47,70.7,70.11,70.65,9263561
2024-07-24,70.52,70.84,70.34,70.6,22490780
2024-07-25,70.6,70.77,69.95,70.02,18821200
2024-07-26,70.23,70.235,68.83,69.78,16789310
2024-07-29,69.85,69.9,69.13,69.62,10315310
2024-07-30,69.55,69.845,68.98,69.19,12522470
2024-07-31,69.18,69.25,68.29,68.64,22908760
2024-08-01,68.91,69.8,68.52,69.79,17275530
2024-08-02,69.6,70.235,67.74,68.46,23578660
2024-08-05,68.1,68.58,66.91,67.59,20770460
2024-08-06,67.84,68.63,67.68,67.74,14815070
2024-08-07,67.87,68.01,66.81,66.91,18499200
2024-08-08,66.84,67.9199,66.67,67.66,12489820
2024-08-09,67.85,68.22,67.33,67.95,13805580
2024-08-12,68.34,69.225,68.07,68.7,17385280
2024-08-13,68.43,68.61,67.14,68.13,26557900
2024-08-14,67.92,68.79,67.85,68.66,22928550
2024-08-15,74.12,74.44,72.78,73.18,49567500
2024-08-16,72.7,73.605,72.52,73.45,19872140
2024-08-19,73.39,73.98,73.34,73.72,13709270
2024-08-20,73.75,74.75,73.72,74.54,14433990
2024-08-21,75.3,75.58,74.59,75.24,14831990
2024-08-22,75.37,76.22,75.15,75.58,16511140
2024-08-23,75.6,75.81,75.0077,75.7,12299090
2024-08-26,75.9,76.205,75.57,76.03,9508215
2024-08-27,76.45,76.45,75.77,76.13,11557760
2024-08-28,76.28,76.43,75.805,76.08,9814264
2024-08-29,75.99,76.47,75.67,76.42,11856790
2024-08-30,76.44,77.475,76.22,77.23,23229980
2024-09-03,77.33,77.81,76.795,77.17,22666140
2024-09-04,77.33,77.48,76.73,77.24,18442780
2024-09-05,77.25,77.45,76.39,76.96,13082890
2024-09-06,76.9,77.32,76.3,76.64,14548590
2024-09-09,76.85,77.47,76.49,77.34,22260230
2024-09-10,77.35,78.9,77.28,78.81,17686280
2024-09-11,78.38,78.92,77.565,78.84,19518760
